# traces ,# t > 4.5 t,max
29400,2994,127.0239
29500,3002,127.3246
29600,2996,127.4436
29700,2999,127.7666
29800,3008,127.9534
29900,3004,128.2594
30000,3014,128.5805
30100,3016,128.7902
30200,3022,128.9533
30300,3017,129.296
30400,3024,129.5719
30500,3031,129.7855
30600,3030,130.0468
30700,3028,130.1983
30800,3035,130.3479
30900,3036,130.49
31000,3042,130.6507
31100,3042,130.8688
31200,3042,131.0988
31300,3044,131.3854
31400,3046,130.9104
31500,3047,131.0147
31600,3044,131.2547
31700,3047,131.5114
31800,3054,131.7329
31900,3049,131.8563
32000,3061,132.1783
32100,3062,132.3187
32200,3065,132.5331
32300,3061,132.7786
32400,3062,132.9846
32500,3069,133.2049
32600,3068,133.5059
32700,3073,133.7614
32800,3073,133.9845
32900,3075,134.1513
33000,3082,134.4404
33100,3081,134.5888
33200,3086,134.7841
33300,3085,135.0474
33400,3091,135.3782
33500,3095,135.6485
33600,3094,135.8982
33700,3092,136.1878
33800,3091,136.3984
33900,3092,136.6152
34000,3100,136.856
34100,3090,137.0907
34200,3095,137.351
34300,3094,137.6215
34400,3097,137.8426
34500,3104,138.1225
34600,3106,138.365
34700,3111,138.6259
34800,3112,138.8636
34900,3120,139.1718
35000,3123,139.4741
35100,3124,139.6018
35200,3126,139.7245
35300,3114,139.9015
35400,3119,140.0919
35500,3114,140.1896
35600,3124,140.4116
35700,3136,140.5978
35800,3137,140.7726
35900,3138,141.0331
36000,3134,141.2246
36100,3134,141.5408
36200,3138,141.8293
36300,3138,142.0584
36400,3144,142.2715
36500,3147,142.5225
36600,3154,142.8147
36700,3152,142.9957
36800,3144,143.1065
36900,3157,143.3179
37000,3166,143.543
37100,3168,143.8038
37200,3170,143.9886
37300,3172,144.2975
37400,3185,144.5027
37500,3184,144.7451
37600,3179,144.929
37700,3177,145.0819
37800,3181,145.2736
37900,3182,145.5301
38000,3195,144.8952
38100,3199,145.0757
38200,3200,145.3676
38300,3199,145.533
38400,3206,145.7902
38500,3209,146.0339
38600,3214,146.3146
38700,3223,146.493
38800,3233,146.6543
38900,3239,146.9102
39000,3241,147.0885
39100,3246,147.3045
39200,3249,147.5759
39300,3249,147.8413
39400,3251,148.0778
39500,3254,148.3527
39600,3247,148.449
39700,3250,148.6981
39800,3252,148.9573
39900,3253,149.206
40000,3250,149.502
